Date;SPI;SPI_Small_Cap;SPI_Mid_Cap;SPI_Large_Cap
2017-12-29;10751.51;27688.03;16559.27;9990.81
2017-12-28;10779.42;27663.05;16616.74;10015.73
2017-12-27;10803.98;27615.38;16639.16;10041.51
2017-12-22;10756.39;27530.06;16541.18;10000.14
2017-12-21;10780.76;27464.56;16529.44;10030.27
2017-12-20;10671.6;27358.84;16463.03;9914.18
2017-12-19;10764.36;27402.26;16539.76;10010.62
2017-12-18;10811.74;27147.06;16536.95;10067.73
2017-12-15;10748.35;26956.16;16408.05;10013.09
2017-12-14;10742.59;27018.34;16402.42;10006.64
2017-12-13;10752.01;26830.82;16371.63;10023.1
2017-12-12;10720.02;26842.71;16356.71;9988.11
2017-12-11;10675.25;26862.72;16349.57;9937.35
2017-12-08;10690.2;26822.19;16418.13;9946.05
2017-12-07;10632.63;26808.34;16295.52;9895.77
2017-12-06;10663.29;26747.38;16252.7;9937.11
2017-12-05;10645.83;26805.73;16280.8;9912.87
2017-12-04;10684.88;26927.11;16308.56;9953.16
2017-12-01;10618.31;26876.29;16161.05;9896.06
2017-11-30;10674.94;26963.24;16285.55;9944.38
2017-11-29;10655.04;26933.74;16211.59;9931.29
2017-11-28;10687.38;26971.56;16321.57;9953.97
2017-11-27;10624.71;26941.45;16270.33;9888.74
2017-11-24;10688.03;27140.21;16335.48;9951.45
2017-11-23;10675.8;27030.12;16318.84;9940.49
2017-11-22;10650.89;27136.21;16309.01;9912.17
2017-11-21;10692.18;26973.42;16400.7;9949.27
2017-11-20;10654.77;26794.73;16292.89;9921.7
2017-11-17;10533.22;26656.79;16129.83;9804.11
2017-11-16;10499.32;26624.63;16157.42;9761.82
2017-11-15;10422.33;26332.92;15956.94;9701.67
2017-11-14;10472.64;26539.87;16064.3;9743.88
2017-11-13;10500.05;26465.73;16052.86;9777.54
2017-11-10;10483.15;26716.75;16161;9741.96
2017-11-09;10524.1;26734.17;16180.4;9786.41
2017-11-08;10631.21;26998.84;16392.85;9879.91
2017-11-07;10585.67;27008.12;16348.51;9833.16
2017-11-06;10657.75;27023.76;16398.63;9909.49
2017-11-03;10691.91;27190.5;16421.71;9944.35
2017-11-02;10633.71;27091.43;16303.77;9893.48
2017-11-01;10639.2;27280.21;16415.81;9883.69
2017-10-31;10604.4;27189.42;16334.48;9854.95
2017-10-30;10529.66;27135.23;16246.95;9780.73
2017-10-27;10531.06;27045.31;16223.83;9786.1
2017-10-26;10543.37;27082.9;16198.6;9803.19
2017-10-25;10415.97;26914.12;16024.3;9680.6
2017-10-24;10518.84;26931.2;15997.22;9802.28
2017-10-23;10570.86;26942.77;15978.33;9864.46
2017-10-20;10554.08;26784.14;15915.84;9854.6
2017-10-19;10547.64;26592.93;15874.4;9854.19
2017-10-18;10634.71;26876.04;16012.98;9934.01
2017-10-17;10586.57;26826.46;15937.7;9888.78
2017-10-16;10600.13;26781.13;16002.98;9896.35
2017-10-13;10643.34;26754.99;16100.6;9933.68
2017-10-12;10625.26;26744.09;16068.36;9917.14
2017-10-11;10585;26631.35;15998.71;9880.79
2017-10-10;10583.56;26594.84;15971.98;9882.9
2017-10-09;10571.48;26623.31;15932.85;9873.81
2017-10-06;10558.31;26602.05;15891.39;9864.2
2017-10-05;10577.21;26596.48;15979.65;9874.6
2017-10-04;10596.59;26587.33;15971.34;9898.04
2017-10-03;10592.13;26567.21;15948.14;9896.08
2017-10-02;10540.37;26524.08;15841.92;9850.62
2017-09-29;10447.33;26452.16;15740.29;9757.34
2017-09-28;10394.99;26211.05;15655.94;9710.09
2017-09-27;10368.34;26113.45;15505.07;9699.76
2017-09-26;10389.87;26047.95;15522.41;9722.85
2017-09-25;10424.77;26298.71;15640.1;9745.64
2017-09-22;10421.04;26344.34;15671.56;9736.9
2017-09-21;10415.72;26410.99;15644.41;9733.71
2017-09-20;10386.81;26445.74;15657.63;9698.44
2017-09-19;10380.83;26377.57;15681.94;9689.01
2017-09-18;10336.35;26410.97;15655.49;9640.97
2017-09-15;10306.4;26294.06;15556.94;9620.24
2017-09-14;10357.63;26519.73;15649.28;9665.29
2017-09-13;10336.27;26468.67;15622.44;9644.63
2017-09-12;10340.45;26442.5;15664.37;9644.26
2017-09-11;10260.2;26405.33;15572.01;9564.17
2017-09-08;10175.26;26277.29;15406.32;9488.93
2017-09-07;10166.32;26315.3;15370.31;9482.95
2017-09-06;10107.1;26168.88;15248.75;9431.78
2017-09-05;10123.77;26244.07;15300.84;9443.59
2017-09-04;10117.67;26254.55;15294.91;9437.23
2017-09-01;10200.85;26396.05;15394.36;9518.87
2017-08-31;10177.22;26292.24;15322.25;9501.89
2017-08-30;10095.32;26222.7;15213.93;9422.24
2017-08-29;10043.93;26029.37;15068.85;9383.52
2017-08-28;10112.58;26358.07;15244.41;9436.97
2017-08-25;10165.55;26477.85;15367.28;9481.02
2017-08-24;10202.21;26388.6;15391.2;9520.9
2017-08-23;10218.79;26440.42;15407.91;9537.36
2017-08-22;10228;26481.37;15442.79;9543.11
2017-08-21;10132.53;26285.47;15273.42;9456.83
2017-08-18;10123.34;26392.17;15265.49;9446.34
2017-08-17;10201.31;26422.34;15369.23;9522.4
2017-08-16;10285.86;26429.06;15368.77;9619.67
2017-08-15;10255.28;26385.35;15308.72;9592.61
2017-08-14;10276.92;26448.64;15339.62;9612.97
2017-08-11;10112.23;26233.73;15102.38;9455.97
2017-08-10;10187.53;26419.36;15220.22;9525.77
2017-08-09;10282.86;26604.47;15425.71;9607.32
2017-08-08;10431.16;26762.56;15634.76;9749.61
2017-08-07;10425.43;26639.55;15647.55;9742.46
2017-08-04;10448.96;26663.87;15669.22;9766.52
2017-08-03;10402.86;26596.95;15594.77;9723.67
2017-08-02;10388.68;26606.37;15586.82;9708.29
2017-07-31;10310.53;26591.51;15437.57;9637.75
2017-07-28;10263.55;26464.38;15323.28;9599.55
2017-07-27;10262.63;26439.26;15327.13;9598.22
2017-07-26;10231.4;26343.19;15277.76;9569.51
2017-07-25;10168.31;26297.41;15158.9;9512.65
2017-07-24;10137.89;26301.02;15205.28;9471.64
2017-07-21;10184.45;26171.64;15291.59;9515.21
2017-07-20;10285.42;26315.12;15457.5;9608.72
2017-07-19;10278.32;26210.36;15440.72;9603.62
2017-07-18;10228.3;26194.98;15376.44;9554.53
2017-07-17;10292.47;26216.98;15450.93;9618.51
2017-07-14;10278.86;26196.49;15362.86;9614.31
2017-07-13;10241.01;26034.82;15292.66;9581.22
2017-07-12;10254.15;26134.77;15322.33;9591.65
2017-07-11;10099.23;26060.7;15112.54;9441.2
2017-07-10;10173.09;26104.01;15186.41;9516.2
2017-07-07;10110.24;26020.17;15128.04;9452.2
2017-07-06;10099.68;25922.36;15013.43;9455.57
2017-07-05;10180.57;26080.47;15155.87;9528.9
2017-07-04;10188.79;26027.69;15097.9;9546.17
2017-07-03;10233.49;26060.39;15162.67;9588.94
2017-06-30;10128.34;26006.54;15067;9480.91
2017-06-29;10150.92;25853.41;14971.34;9520.34
2017-06-28;10294.45;26023.96;15161.72;9659.34
2017-06-27;10297.96;26110.89;15213.95;9655.96
2017-06-26;10358.54;26213.14;15341.79;9708.32
2017-06-23;10275.66;26165.56;15332.62;9614.77
2017-06-22;10296.05;26157.36;15369.35;9633.55
2017-06-21;10233.89;26113.71;15360.16;9563.76
2017-06-20;10272.33;26105.16;15392.4;9603.84
2017-06-19;10289.08;26193.35;15474.59;9611.84
2017-06-16;10215.31;26114.58;15369.52;9541.23
2017-06-15;10086.18;25924.91;15142.71;9423.55
2017-06-14;10093.77;26046.92;15231.87;9420.03
2017-06-13;10103.57;25945.57;15176.52;9439.03
2017-06-12;10029.78;25717.72;15026.21;9375.37
2017-06-09;10096.02;26020.64;15274.59;9417.45
2017-06-08;10054.96;26047.36;15183.96;9381.64
2017-06-07;10123.61;26050;15259.7;9450.65
2017-06-06;10154.64;26138.06;15265.81;9484.66
2017-06-02;10290.1;26209.04;15358.14;9627.46
2017-06-01;10267.67;25984.97;15332.42;9606.87
2017-05-31;10248.87;25962.56;15237.96;9597.42
2017-05-30;10247.37;25949.23;15304.35;9587.47
2017-05-29;10269.4;25808.78;15312.03;9612.88
2017-05-26;10285.32;25951.04;15357.1;9624.26
2017-05-24;10268.81;25887.93;15283.22;9615.17
2017-05-23;10288.98;25809.34;15254.91;9642.46
2017-05-22;10308.69;25778.16;15249.19;9665.99
2017-05-19;10238.22;25777.15;15133.98;9599.84
2017-05-18;10136.94;25661.06;14928.5;9510.75
2017-05-17;10209.24;25927.43;15027.27;9578.86
2017-05-16;10371.65;26216.62;15416.61;9713.3
2017-05-15;10347.27;26075.45;15356.46;9694.15
2017-05-12;10358.97;25901.67;15348.38;9710.03
2017-05-11;10290.52;25792.8;15201.84;9651.24
2017-05-10;10320.78;25765.44;15257.23;9679.09
2017-05-09;10341.28;25767.34;15249.07;9703.74
2017-05-08;10250.11;25625.41;15138.93;9614.31
2017-05-05;10203.58;25650.22;15133.82;9561.19
2017-05-04;10162.93;25594.49;15082.15;9521.59
2017-05-03;10073.67;25602.89;15007.15;9428.53
2017-05-02;10058.62;25609.76;15062.4;9403.97
2017-04-28;9976.11;25355.35;14800.18;9346.1
2017-04-27;10002.68;25363.83;14781.85;9379.39
2017-04-26;9975.34;25300.51;14682.68;9361.75
2017-04-25;9911.31;25235.06;14596.44;9299.73
